# Time, Probability
0.1, 0.5164617618605709
0.2, 0.45767834041214606
0.30000000000000004, 0.41483307386871215
0.4, 0.3823279226653629
0.5, 0.35660515298733386
0.6, 0.3354002849098369
0.7, 0.3172688513843953
0.7999999999999999, 0.30128644490877077
0.8999999999999999, 0.28685861571788834
0.9999999999999999, 0.27360038458532515
1.0999999999999999, 0.2612598720585356
1.2, 0.2496698856990339
1.3, 0.23871722547670624
1.4000000000000001, 0.22832321811812425
1.5000000000000002, 0.2184313680519677
1.6000000000000003, 0.20899951884473744
1.7000000000000004, 0.19999487356165666
1.8000000000000005, 0.19139080637554975
1.9000000000000006, 0.1831649341512461
2.0000000000000004, 0.17529768126497397
2.1000000000000005, 0.16777155733103313
2.2000000000000006, 0.1605705939103141
2.3000000000000007, 0.1536799836421366
2.400000000000001, 0.14708590628719767
2.500000000000001, 0.14077528447980397
2.600000000000001, 0.13473574375367595
2.700000000000001, 0.12895551924137272
2.800000000000001, 0.12342339403884782
2.9000000000000012, 0.11812868566067632
3.0000000000000013, 0.1130611659942102
3.1000000000000014, 0.1082110610042236
3.2000000000000015, 0.10356904500350642
3.3000000000000016, 9.912617406884679e-2
3.4000000000000017, 9.487390003391616e-2
3.5000000000000018, 9.080403931549715e-2
3.600000000000002, 8.690877399672009e-2
3.700000000000002, 8.318060750250846e-2
3.800000000000002, 7.961236737395007e-2
3.900000000000002, 7.619720091946723e-2
4.000000000000002, 7.292853649026455e-2
4.100000000000001, 6.980008944605143e-2
4.200000000000001, 6.680584266206378e-2
4.300000000000001, 6.394004407678615e-2
4.4, 6.119718071115729e-2
4.5, 5.8571977250004556e-2
4.6, 5.605939042741699e-2
4.699999999999999, 5.3654586914974274e-2
4.799999999999999, 5.1352941714695274e-2
4.899999999999999, 4.915003291009456e-2
4.999999999999998, 4.7041623046549366e-2
5.099999999999998, 4.502365727112999e-2
5.1999999999999975, 4.309225841986537e-2
5.299999999999997, 4.1243711462854674e-2
5.399999999999997, 3.947446140820065e-2
5.4999999999999964, 3.7781108718148826e-2
5.599999999999996, 3.61603963848826e-2
5.699999999999996, 3.460920765606473e-2
5.799999999999995, 3.312456177997293e-2
5.899999999999995, 3.170360330148327e-2
5.999999999999995, 3.0343599681062948e-2
